feature_name,variance,target_linear_correlation,feature_importances
SensorOffset CP1,0.005812707,0.115333406,0.001839479
Zb_V_OBVOH_H of 1103959_69_1133529_cp1_cp1p5_YPP,0.000297843,0.0380064,0.001809093
AC_V_GAIN_AFE_CRN_5_8_8 of 1103959_69_1133529_cp1_cp1p5_YPP,0.008056601,0.091209991,0.001802399
AC_V_GAIN_AFE_CLN_5_8_8 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.002746463,0.110573867,0.001790427
Zb_V_OBVOH_H_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000193012,0.033127948,0.00176945
AG_V_SELF_TEST_GAIN_11_2_1 of 1103959_69_JPP,0.000322655,0.089156272,0.001768844
Gb_I_GBIAS_0_HV of 1103959_69_1133529_cp1,0.003486028,0.069222477,0.001756547
AC_SENSE_CLN of 1103959_69_1133529_cp1,0.002820981,0.124236642,0.001753916
Dt_V_VR1V2DRA_M of 1103959_69_1133592_RPP,3.27E-05,0.081336231,0.001752835
AC_V_AFE_CLP_5_8_8_I0_RAW of 1103959_69_1133592_RPP,0.000538426,0.022198574,0.001743679
HH_CONT_SH_CR of 1103959_69_1133592_QPP,2.27E-05,0.073069162,0.001736742
VV_V_3V3_M20M of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000183784,0.048430971,0.001736384
KK_LK_CL_APMU_LO of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,11796.79809,0.002869187,0.001732162
Zb_V_OBVOL_L of 1103959_69_1133529_cp1_cp1p5_YPP,0.000778113,0.031536113,0.001723385
EEPROM_SET_V0__,72.18870779,0.035888625,0.001719109
Dr_V_VR1V2DRA_OUT_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,7.22E-05,0.033650567,0.00171521
AC_V_AFE_CN_5_8_8_I0 JPP,0.000752404,0.032513748,0.001707624
HH_CONT_SH_CM of 1103959_69_JPP,6.14E-06,0.098973549,0.001706739
TR_TEMP_REG42 of 1103959_69_1133529_cp1p5,92.00776778,0.02541875,0.001702185
AC_V_AFE_CRN_5_8_8_I0 of 1103959_69_1133529_cp1p5,0.006772662,0.029159584,0.00170029
AC_V_AFE_CRP_5_8_8_I0_RAW of 1103959_69_1133592_RPP,0.000631625,0.001813975,0.001696064
AC_VOUTB0 of 1103959_69_1133529_cp1_cp1p5_YPP,217.2258766,0.016689804,0.001693532
AC_VOUTB0_PRE of 1103959_69_JPP,75.91228974,0.030181133,0.001689673
AC_V_GAIN_AFE_CRN_5_8_8 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.002826301,0.11974314,0.001676727
Zb_V_OBVOL_H of 1103959_69_1133529_cp1_cp1p5_YPP,0.00052017,0.01300859,0.001661367
AC_V_AFE_CRN_5_8_8_I0_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.006684497,0.036199279,0.001660389
TR_TEMP_REG11 of 1103959_69_JPP,119.3173112,0.034770809,0.001659843
SensorOffset QPP,0.00095421,0.090861342,0.001643645
AC_VOFF_TGT_PRE_TM of 1103959_69_1133592_QPP,0.000293443,0.004210793,0.001643369
EEPROM_SET_S1__,595.4944288,0.008008629,0.001639797
AC_V_AFE_CRP_5_8_8_I0 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000561214,0.016953467,0.001632895
HH_CONT_VINT of 1103959_69_1133592_QPP,0.000497824,0.029571358,0.001631735
EEPROM_V2__,77.91374046,0.017593036,0.001630015
HH_CONT_SH_PTEN of 1103959_69_1133529_cp1_cp1p5_YPP,1.06E-05,0.049180599,0.001619463
HH_CONT_VSS_APMU of 1103959_69_1133529_cp1p5,0.002077636,0.015427731,0.001602863
Gb_I_GBIAS_0_HV of 1103959_69_1133529_cp1p5,0.115758624,0.036004262,0.001598692
